rank,previousRank,athlete,school,grade,division,gender,season,event,timeOrMark,rankingExplanation,updatedDate,slug,title,subtitle,sport
11,,Wyatt Gockerman,Cincinnati CHCA,Senior,Division 3,Boys,2026,Cross Country,"15:25.80 5K, 9:13.00 3200, 4:17.97 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
12,,Kelan Byrne,Chagrin Falls,Senior,Division 3,Boys,2026,Cross Country,"15:42.82 5K, 9:30.92 3200, 4:20.01 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
13,,Owen Thomas,Garrettsville Garfield,Senior,Division 3,Boys,2026,Cross Country,"15:54 5K, 9:35 3200",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
14,,Jamie Yuronich,Keystone,Junior,Division 3,Boys,2026,Cross Country,"15:59.01 5K, 9:39.72 3200, 4:26.31 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
15,,Logan Howard,Canton South,Junior,Division 3,Boys,2026,Cross Country,"16:03.90 5K, 9:31.25 3200, 4:30.39 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
16,,Colin Hinkelman,Milton Union,Senior,Division 3,Boys,2026,Cross Country,"16:05.60 5K, 9:31.23 3200, 4:32.85 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
17,,Remington Griffiths,Woodridge,Junior,Division 3,Boys,2026,Cross Country,"16:04.69 5K, 9:38.29 3200, 4:30.56 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
18,,John Deitemeyer,Bryan,Sophomore,Division 3,Boys,2026,Cross Country,"16:07.63 5K, 10:09.82 3200, 4:55.73 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
19,,Aaron Geswein,Valley View,Junior,Division 3,Boys,2026,Cross Country,"16:10.55 5K, 9:34.38 3200, 4:25.35 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
20,,Wade Manns,Kenton,Junior,Division 3,Boys,2026,Cross Country,"16:22.00 5K, 9:45.35 3200, 4:33.45 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
21,,Brayan Gullett,West Liberty Salem,Junior,Division 3,Boys,2026,Cross Country,"16:15.48 5K, 4:22.73 1600, 9:50.35 3200",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
22,,Eli White,Woodridge,Junior,Division 3,Boys,2026,Cross Country,"16:09.80 5K, 9:55.21 3200, 4:36.00 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
23,,Anderson Scott,Minerva,Sophomore,Division 3,Boys,2026,Cross Country,"15:46.94 5K, 10:02.77 3200, 4:38.02 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
24,,Owen Russell,Logan Elm,Senior,Division 3,Boys,2026,Cross Country,"16:17.53 5K, 4:23.05 1600, 9:45.65 3200",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
25,,Vincent Campbell,Meadowbrook,Sophomore,Division 3,Boys,2026,Cross Country,"16:32.14 5K, 9:25.92 3200, 4:22.57 1600",,2026-07-29,2026-top-25-returning-runners,2026 Division 3 Boys Top 25,Top 25 returning runners,Cross Country
