rank,previousRank,athlete,school,grade,division,gender,season,event,timeOrMark,rankingExplanation,updatedDate,slug,title,subtitle,sport
11,,Wyatt Gockerman,Cincinnati CHCA,Senior,Division 3,Boys,2026,Cross Country,15:25.80 5K,"Wyatt Gockerman enters at No. 11 after a 15:25.80 5K, a 9:13.00 3200, and a 4:17.97 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
12,,Kelan Byrne,Chagrin Falls,Senior,Division 3,Boys,2026,Cross Country,15:42.82 5K,"Kelan Byrne enters at No. 12 after a 15:42.82 5K, a 9:30.92 3200, and a 4:20.01 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
13,,Owen Thomas,Garrettsville Garfield,Senior,Division 3,Boys,2026,Cross Country,15:54 5K,Owen Thomas is ranked No. 13 with a 15:54 5K and a 9:35 3200.,2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
14,,Jamie Yuronich,Keystone,Junior,Division 3,Boys,2026,Cross Country,15:59.01 5K,"Jamie Yuronich enters at No. 14 after a 15:59.01 5K, a 9:39.72 3200, and a 4:26.31 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
15,,Logan Howard,Canton South,Junior,Division 3,Boys,2026,Cross Country,16:03.90 5K,"Logan Howard enters at No. 15 after a 16:03.90 5K, a 9:31.25 3200, and a 4:30.39 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
16,,Colin Hinkelman,Milton-Union,Senior,Division 3,Boys,2026,Cross Country,16:05.60 5K,"Colin Hinkelman enters at No. 16 after a 16:05.60 5K, a 9:31.23 3200, and a 4:32.85 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
17,,Remington Griffiths,Woodridge,Junior,Division 3,Boys,2026,Cross Country,16:04.69 5K,"Remington Griffiths enters at No. 17 after a 16:04.69 5K, a 9:38.29 3200, and a 4:30.56 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
18,,John Deitemeyer,Bryan,Sophomore,Division 3,Boys,2026,Cross Country,16:07.63 5K,"John Deitemeyer enters at No. 18 after a 16:07.63 5K, a 10:09.82 3200, and a 4:55.73 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
19,,Aaron Geswein,Valley View,Junior,Division 3,Boys,2026,Cross Country,16:10.55 5K,"Aaron Geswein enters at No. 19 after a 16:10.55 5K, a 9:34.38 3200, and a 4:25.35 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
20,,Wade Manns,Kenton,Junior,Division 3,Boys,2026,Cross Country,16:22.00 5K,"Wade Manns enters at No. 20 after a 16:22.00 5K, a 9:45.35 3200, and a 4:33.45 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
21,,Brayan Gullett,West Liberty Salem,Junior,Division 3,Boys,2026,Cross Country,16:15.48 5K,"Brayan Gullett enters at No. 21 after a 16:15.48 5K, a 9:50.35 3200, and a 4:22.73 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
22,,Eli White,Woodridge,Junior,Division 3,Boys,2026,Cross Country,16:09.80 5K,"Eli White enters at No. 22 after a 16:09.80 5K, a 9:55.21 3200, and a 4:36.00 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
23,,Anderson Scott,Minerva,Sophomore,Division 3,Boys,2026,Cross Country,15:46.94 5K,"Anderson Scott enters at No. 23 after a 15:46.94 5K, a 10:02.77 3200, and a 4:38.02 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
24,,Owen Russell,Logan Elm,Senior,Division 3,Boys,2026,Cross Country,16:17.53 5K,"Owen Russell enters at No. 24 after a 16:17.53 5K, a 9:45.65 3200, and a 4:23.05 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
25,,Vincent Campbell,Meadowbrook,Sophomore,Division 3,Boys,2026,Cross Country,16:32.14 5K,"Vincent Campbell enters at No. 25 after a 16:32.14 5K, a 9:25.92 3200, and a 4:22.57 1600.",2026-07-29,2026-division-3-boys-cross-country-top-25,2026 Division 3 Boys Cross Country Top 25,Top 25 returning boys,Cross Country
